shape,position,space,own,equal,newBody,sameBody,nonThunk,onlyLeft,onlyRight
#levelTree,120,mergeSort,1253,1209,21,4,0,19,9
#levelTree,121,inputTree,255,251,0,0,2,2,0
#levelTree,121,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,121,merge,1,0,0,0,1,0,0
#levelTree,121,mergeSort,1253,1222,13,6,0,12,2
#levelTree,122,inputTree,255,252,0,0,1,2,0
#levelTree,122,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,122,merge,1,0,0,0,1,0,0
#levelTree,122,mergeSort,1253,1229,11,3,0,10,0
#levelTree,123,inputTree,255,252,0,0,1,2,0
#levelTree,123,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,123,merge,1,0,0,0,1,0,0
